experiment,lambda_dssim,lambda_geo,lambda_smooth,lambda_var,lambda_iso,lambda_align,flatten_z,scene,avg_psnr,avg_ssim,avg_lpips,avg_accuracy,avg_completion,avg_comp_ratio
var02,0.2,0.0,0.0,0.2,0.0,0.0,false,office3,31.9346,0.9254,0.0905,5.4400,5.6940,68.42
var02,0.2,0.0,0.0,0.2,0.0,0.0,false,office4,33.6775,0.9414,0.0716,4.4709,6.1882,72.78
var02,0.2,0.0,0.0,0.2,0.0,0.0,false,room0,28.7654,0.8640,0.1316,4.6090,5.3623,75.64
var02,0.2,0.0,0.0,0.2,0.0,0.0,false,room1,15.8968,0.4586,0.0404,1.9128,2.1766,40.53
var02,0.2,0.0,0.0,0.2,0.0,0.0,false,room2,33.2683,0.9375,0.0627,6.3751,5.0565,73.08
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,office0,36.8975,0.9576,0.0701,4.0897,3.4349,82.97
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,office1,37.5319,0.9516,0.0650,2.1858,4.0455,81.65
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,office2,29.7997,0.9204,0.1031,4.6605,5.5995,74.32
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,office3,32.2793,0.9276,0.0880,3.5889,4.8636,77.73
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,office4,33.3508,0.9392,0.0730,3.3140,5.4368,78.99
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,room0,29.8267,0.8834,0.1089,4.5457,4.6390,83.09
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,room1,30.4710,0.9008,0.0958,2.6282,3.7293,86.26
var05,0.2,0.0,0.0,0.5,0.0,0.0,false,room2,33.6940,0.9397,0.0601,3.6677,4.2085,81.06
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,office0,36.5907,0.9546,0.0736,2.9283,2.6758,88.29
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,office1,37.6898,0.9532,0.0634,1.6888,3.3485,85.26
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,office2,30.1429,0.9224,0.1006,3.0946,4.5973,81.43
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,office3,32.1180,0.9261,0.0887,2.5820,4.1698,83.15
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,office4,33.3065,0.9396,0.0726,2.4110,4.7755,83.18
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,room0,29.2544,0.8679,0.1217,2.2606,3.9852,87.25
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,room1,16.0493,0.4588,0.0397,0.8339,1.6986,44.08
geo05var01,0.2,0.5,0.0,0.1,0.0,0.0,false,room2,32.9269,0.9355,0.0620,2.3784,3.5955,86.28
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,office0,37.0453,0.9579,0.0689,2.9653,2.6448,88.28
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,office1,38.1171,0.9554,0.0624,1.6204,3.4236,84.84
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,office2,30.9415,0.9266,0.1003,2.7963,4.3624,82.68
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,office3,32.0956,0.9259,0.0900,2.6240,4.1941,83.18
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,office4,33.8745,0.9424,0.0708,2.2193,4.6582,83.69
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,room0,27.7351,0.8230,0.1268,2.0243,3.9701,87.13
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,room1,31.7225,0.9099,0.0847,1.7072,3.2417,88.64
geo05var02,0.2,0.5,0.0,0.2,0.0,0.0,false,room2,33.7681,0.9401,0.0585,2.2839,3.5017,86.64
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,office0,35.2591,0.9435,0.1363,2.8328,2.6670,88.81
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,office1,37.8630,0.9520,0.0835,1.7236,3.4429,85.11
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,office2,29.7229,0.9156,0.1355,4.0164,4.7337,80.25
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,office3,31.1781,0.9128,0.1284,3.5754,4.3683,82.02
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,office4,32.9143,0.9334,0.1085,2.7103,4.8737,82.59
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,room0,27.9633,0.8261,0.2071,2.5480,4.0934,86.81
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,room1,30.5928,0.8885,0.1373,2.1159,3.3548,88.48
geo05iso03,0.2,0.5,0.0,0.0,0.3,0.0,false,room2,31.3275,0.9215,0.0983,3.0303,3.9408,84.34
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,office0,35.4769,0.9447,0.1341,3.2359,2.6947,88.81
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,office1,37.1194,0.9489,0.0857,1.9012,3.4847,84.78
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,office2,30.4898,0.9192,0.1303,3.4947,4.6423,80.75
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,office3,30.6474,0.9105,0.1306,3.5087,4.5403,80.54
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,office4,32.6856,0.9323,0.1103,2.9935,4.9572,82.01
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,room0,25.7942,0.7566,0.2157,2.8270,4.0672,87.05
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,room1,30.5719,0.8867,0.1477,2.3510,3.4097,88.50
geo05iso05,0.2,0.5,0.0,0.0,0.5,0.0,false,room2,31.7805,0.9232,0.0984,2.8587,3.8418,85.44
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,office0,36.8680,0.9567,0.0720,3.3489,2.6546,88.34
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,office1,38.1144,0.9552,0.0634,1.7369,3.3711,85.45
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,office2,30.2608,0.9229,0.1011,11.3098,4.5088,82.26
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,office3,32.6381,0.9289,0.0872,3.0534,4.2586,82.67
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,office4,34.0892,0.9426,0.0702,2.2646,4.6317,83.64
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,room0,28.2308,0.8422,0.1398,2.3102,4.0081,86.77
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,room1,32.4164,0.9214,0.0772,1.8966,3.2817,88.91
geo05al02,0.2,0.5,0.0,0.0,0.0,0.2,false,room2,33.3734,0.9381,0.0599,2.4214,3.6557,85.90
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,office0,36.9380,0.9569,0.0703,3.2864,2.8293,88.25
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,office1,37.9352,0.9537,0.0642,2.0812,3.6938,83.72
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,office2,15.4830,0.4633,0.0498,2.7931,2.3797,40.56
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,office3,32.1908,0.9262,0.0890,3.7779,4.2763,82.62
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,office4,34.2503,0.9442,0.0691,2.3517,4.7783,83.38
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,room0,27.9344,0.8154,0.1260,2.1890,4.0488,86.64
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,room1,31.3923,0.9106,0.0859,1.8296,3.3489,88.64
geo05al03,0.2,0.5,0.0,0.0,0.0,0.3,false,room2,33.2788,0.9366,0.0604,2.4512,3.7102,85.71
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,office0,37.0712,0.9572,0.0705,2.4860,2.3815,90.06
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,office1,37.8596,0.9537,0.0631,1.5848,3.4359,85.20
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,office2,31.0177,0.9274,0.0988,3.7502,4.3292,82.92
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,office3,32.6938,0.9290,0.0876,3.5164,4.1650,83.42
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,office4,34.1586,0.9432,0.0702,2.1738,4.6578,83.80
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,room0,29.4441,0.8766,0.1142,2.1925,3.9389,87.35
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,room1,30.9564,0.9025,0.0944,1.6509,3.1468,88.92
geo05var02al02,0.2,0.5,0.0,0.2,0.0,0.2,false,room2,32.5866,0.9336,0.0619,2.4477,3.8826,85.67
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,office0,37.2449,0.9578,0.0695,2.8700,2.6256,88.68
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,office1,37.8683,0.9538,0.0658,1.7387,3.3604,85.53
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,office2,30.1932,0.9236,0.1005,4.6348,4.4814,81.70
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,office3,32.0622,0.9256,0.0888,3.1375,4.3006,82.53
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,office4,33.7946,0.9410,0.0706,2.2030,4.7172,83.59
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,room0,29.5339,0.8690,0.1196,2.1422,3.9674,86.85
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,room1,31.6491,0.9136,0.0810,1.7698,3.3446,88.22
geo05var02al03,0.2,0.5,0.0,0.2,0.0,0.3,false,room2,33.3860,0.9370,0.0610,2.2654,3.6806,86.12
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,office0,35.2249,0.9428,0.1377,3.2832,2.8258,88.21
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,office1,37.6247,0.9505,0.0839,1.7740,3.3819,85.75
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,office2,30.5988,0.9194,0.1298,4.9807,4.3853,81.93
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,office3,31.2844,0.9135,0.1264,3.5865,4.3137,82.31
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,office4,33.2022,0.9348,0.1052,2.7537,4.8652,82.66
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,room0,14.5582,0.4224,0.0968,1.1276,2.0236,43.41
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,room1,30.5474,0.8872,0.1437,1.9913,3.3260,88.67
geo05var02iso03al02,0.2,0.5,0.0,0.2,0.3,0.2,false,room2,32.3342,0.9280,0.0916,2.4440,3.7458,86.38
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,office0,36.2175,0.9477,0.1240,2.7257,2.4651,90.31
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,office1,37.4586,0.9498,0.0847,1.7258,3.3784,85.46
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,office2,14.7879,0.4581,0.0651,3.1409,2.3259,40.38
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,office3,31.5440,0.9167,0.1202,3.5677,4.2782,82.44
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,office4,33.4646,0.9363,0.1024,2.4458,4.7714,83.57
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,room0,27.2265,0.8117,0.2122,2.5319,4.0863,86.78
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,room1,31.0261,0.8946,0.1340,1.8219,3.3265,88.49
geo05var02iso05al03,0.2,0.5,0.0,0.2,0.5,0.3,false,room2,33.0116,0.9306,0.0907,2.5511,3.8216,85.93
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,office0,36.1473,0.9483,0.1218,3.9937,2.3718,90.51
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,office1,37.8528,0.9514,0.0825,1.5760,3.2013,86.44
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,office2,30.8863,0.9209,0.1262,4.0510,4.3329,83.20
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,office3,31.5619,0.9168,0.1207,3.2241,4.1088,83.47
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,office4,33.2650,0.9349,0.1044,2.3407,4.6724,83.77
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,room0,29.3053,0.8444,0.1886,2.0511,3.7646,88.00
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,room1,30.2048,0.8858,0.1431,1.7513,3.2400,89.08
geo07var02iso03al02,0.2,0.7,0.0,0.2,0.3,0.2,false,room2,31.4863,0.9214,0.0967,2.7390,3.9341,85.31
